date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0,0,0,0,55800,0
20140113,0,0,0,0,0,82100,0
20140110,0,0,0,0,0,20700,0
20140109,0,0,0,0,0,199300,0
20140108,0,0,0,0,0,200100,0
20140107,0,0,0,0,0,2000,0
20140106,0,0,0,0,0,100,0
20140103,0,0,0,0,0,0,0
20140102,0,0,0,0,0,50000,0
20140101,0,0,0,0,0,0,0
20131231,0,0,0,0,0,390300,0
20131230,0,0,0,0,0,228300,0
20131227,0,0,0,0,0,114600,0
20131226,0,0,0,0,0,80400,0
20131225,0,0,0,0,0,0,0
20131224,0,0,0,0,0,121000,0
20131223,0,0,0,0,0,416600,0
20131220,0,0,0,0,0,166300,0
20131219,0,0,0,0,0,116500,0
20131218,0,0,0,0,0,64800,0
20131217,0,0,0,0,0,97000,0
20131216,0,0,0,0,0,246400,0
20131213,0,0,0,0,0,13800,0
20131212,0,0,0,0,0,10400,0
20131211,0,0,0,0,0,98400,0
20131210,0,0,0,0,0,295900,0
20131209,0,0,0,0,0,745500,0
20131206,0,0,0,0,0,21600,0
20131205,0,0,0,0,0,10700,0
20131204,0,0,0,0,0,535600,0
20131203,0,0,0,0,0,26900,0
20131202,0,0,0,0,0,135200,0
20131129,0,0,0,0,0,64800,0
20131128,0,0,0,0,0,0,0
20131127,0,0,0,0,0,4200,0
20131126,0,0,0,0,0,43600,0
20131125,0,0,0,0,0,153800,0
20131122,0,0,0,0,0,335300,0
20131121,0,0,0,0,0,28000,0
20131120,0,0,0,0,0,68800,0
20131119,0,0,0,0,0,148500,0
20131118,0,0,0,0,0,51700,0
20131115,0,0,0,0,0,41800,0
20131114,0,0,0,0,0,51000,0
20131113,0,0,0,0,0,12300,0
20131112,0,0,0,0,0,14400,0
20131111,0,0,0,0,0,25600,0
20131108,0,0,0,0,0,56000,0
20131107,0,0,0,0,0,34400,0
20131106,0,0,0,0,0,0,0
20131105,0,0,0,0,0,55700,0
20131104,0,0,0,0,0,13000,0
