date,time,open price,high price,low price,close price,volume,adjusted price
20130813,0,5.3,5.5,4.62,4.92,16200,4.92
20130812,0,4.87,5.35,4.87,5.2,8400,5.2
20130809,0,5,5,5,5,0,5
20130808,0,5,5,5,5,1000,5
20130807,0,4.97,5.19,4.94,4.95,1200,4.95
20130806,0,5.32,5.32,4.79,4.94,8400,4.94
20130805,0,4.62,5.34,4.62,5.16,27900,5.16
20130802,0,4.7,4.7,4.67,4.67,1400,4.67
20130801,0,4.66,4.66,4.66,4.66,500,4.66
20130731,0,4.51,4.68,4.5,4.68,2400,4.68
20130730,0,4.6,4.74,4.52,4.52,3200,4.52
20130729,0,4.67,4.75,4.6,4.69,4400,4.69
20130726,0,4.25,4.77,4.25,4.69,10400,4.69
20130725,0,4.31,4.34,4.1,4.25,7100,4.25
20130724,0,4.3,4.31,4.3,4.3,5400,4.3
20130723,0,4.59,4.59,4.35,4.5,13500,4.5
20130722,0,4.6,4.6,4.6,4.6,0,4.6
20130719,0,4.6,4.6,4.6,4.6,0,4.6
20130718,0,4.6,4.6,4.6,4.6,0,4.6
20130717,0,4.68,4.68,4.6,4.6,900,4.6
20130716,0,4.54,4.66,4.54,4.65,900,4.65
20130715,0,4.54,4.81,4.54,4.75,14100,4.75
20130712,0,4.53,4.63,4.53,4.63,1800,4.63
20130711,0,4.37,4.78,4.37,4.5,39200,4.5
20130710,0,4.01,4.3,4.01,4.26,14500,4.26
20130709,0,4.15,4.15,3.99,4.02,11100,4.02
20130708,0,4.2,4.2,4.1,4.1,5800,4.1
20130705,0,4.1,4.11,4.1,4.1,800,4.1
20130703,0,4.1,4.1,4.1,4.1,2000,4.1
20130702,0,4.15,4.16,4.13,4.13,14400,4.13
20130701,0,4.19,4.19,4,4.17,3700,4.17
20130628,0,4.1,4.19,3.88,4.19,5300,4.19
20130627,0,4.04,4.15,4,4.05,4800,4.05
20130626,0,3.96,4.08,3.84,4.08,23700,4.08
20130625,0,4.09,4.09,3.89,3.9,26700,3.9
20130624,0,4.15,4.15,4.03,4.03,12800,4.03
20130621,0,4.27,4.52,4.13,4.21,22800,4.21
20130620,0,4.33,4.41,4.28,4.28,6200,4.28
20130619,0,4.47,4.47,4.35,4.45,3500,4.45
20130618,0,4.57,4.58,4.33,4.5,25800,4.5
20130617,0,4.78,4.87,4.45,4.6,6200,4.6
20130614,0,4.53,4.8,4.52,4.77,2200,4.77
20130613,0,4.7,4.74,4.64,4.74,41800,4.74
20130612,0,4.83,4.96,4.48,4.49,27500,4.49
20130611,0,4.59,4.82,4.59,4.76,12300,4.76
20130610,0,4.63,4.67,4.55,4.67,4600,4.67
20130607,0,4.55,4.55,4.55,4.55,0,4.55
20130606,0,4.33,4.63,4.31,4.55,14900,4.55
20130605,0,4.43,4.5,4.25,4.35,29800,4.35
20130604,0,5.01,5.01,4.2,4.52,32900,4.52
20130603,0,4.88,5,4.87,4.98,10300,4.98
20130531,0,4.99,4.99,4.9,4.9,2800,4.9
20130530,0,5.27,5.27,4.85,5,3700,5
20130529,0,5.48,5.48,5.22,5.22,500,5.22
20130528,0,5.55,5.55,5.55,5.55,800,5.55
20130524,0,5.14,5.21,4.62,5.21,11300,5.21
20130523,0,5.1,5.4,5.1,5.4,4700,5.4
20130522,0,5.33,5.44,5.32,5.32,10000,5.32
20130521,0,5.06,5.5,5.06,5.3,10700,5.3
20130520,0,4.5,5.06,4.5,5.05,17800,5.05
20130517,0,4.5,4.55,4.5,4.55,9500,4.55
20130516,0,4.99,4.99,4.5,4.5,57000,4.5
20130515,0,4.49,4.95,4.49,4.95,6000,4.95
20130514,0,4.51,4.59,4.51,4.51,3200,4.51
20130513,0,4.99,4.99,4.59,4.6,9300,4.6
20130510,0,4.86,4.96,4.86,4.96,6500,4.96
20130509,0,4.82,4.9,4.77,4.9,7100,4.9
20130508,0,5.02,5.22,4.91,4.91,4800,4.91
20130507,0,4.85,5.02,4.76,5.02,27900,5.02
20130506,0,4.75,4.89,4.61,4.81,64800,4.81
20130503,0,4.41,4.75,4.39,4.51,52400,4.51
20130502,0,4.61,4.61,4.34,4.41,4300,4.41
20130501,0,4.44,4.48,4.38,4.42,3900,4.42
20130430,0,4.65,4.8,4.49,4.5,22400,4.5
20130429,0,3.97,4.84,3.97,4.55,68600,4.55
20130426,0,4.05,4.05,3.84,3.95,42800,3.95
20130425,0,4.5,4.62,3.95,4.05,89600,4.05
20130424,0,4.67,4.67,4.5,4.5,32700,4.5
20130423,0,5.02,5.02,4.6,4.66,8600,4.66
20130422,0,4.98,5.03,4.98,5.02,15600,5.02
20130419,0,5.09,5.1,4.95,4.99,17200,4.99
20130418,0,4.99,5.09,4.91,5.09,14700,5.09
20130417,0,5.2,5.2,4.82,5.01,28300,5.01
20130416,0,5.66,5.66,5.25,5.5,23800,5.5
20130415,0,5.75,5.8,5.32,5.35,9600,5.35
20130412,0,5.91,5.91,5.5,5.71,5600,5.71
20130411,0,5.8,6,5.65,5.81,17300,5.81
20130410,0,6.12,6.18,5.75,5.78,14000,5.78
20130409,0,6.1,6.1,6,6,3800,6
20130408,0,6.49,6.5,5.81,6.05,27500,6.05
20130405,0,6.15,6.49,6.07,6.46,12700,6.46
20130404,0,6.02,6.21,6,6.21,7000,6.21
20130403,0,7.09,7.09,6,6.1,31600,6.1
20130402,0,6.99,7,6.65,6.7,18200,6.7
20130401,0,6.94,6.94,6.5,6.74,25700,6.74
20130328,0,6.5,6.75,6.5,6.74,11000,6.74
20130327,0,6.5,6.7,6.25,6.7,18300,6.7
20130326,0,6.64,6.74,6.41,6.62,11300,6.62
20130325,0,6.5,6.97,6.5,6.65,7400,6.65
20130322,0,6.54,6.83,6.53,6.83,13000,6.83
20130321,0,6.58,6.6,6.5,6.51,11400,6.51
20130320,0,6.58,6.7,6.5,6.7,10000,6.7
20130319,0,6.77,6.77,6.67,6.69,25200,6.69
20130318,0,6.59,7.1,6.59,6.67,5700,6.67
20130315,0,7.11,7.21,7,7.01,28800,7.01
20130314,0,7.12,7.15,4.51,6.82,54200,6.82
20130313,0,7.15,7.31,7.11,7.14,21300,7.14
20130312,0,7.25,7.28,7.1,7.14,26900,7.14
20130311,0,7.19,7.29,7.16,7.19,14100,7.19
20130308,0,7.3,7.34,7.01,7.19,28000,7.19
20130307,0,7.14,7.4,7.14,7.22,82100,7.22
20130306,0,7.51,7.62,7,7.2,368000,7.2
20130305,0,7.93,8.2,7.36,7.67,996100,7.67
